"id","rt_speed","rt_accuracy","corr_speed","corr_accuracy","rt_speed_right","rt_speed_left","rt_accuracy_left","rt_accuracy_right","corr_speed_right","corr_speed_left","corr_accuracy_left","corr_accuracy_right"
"sub-007",0.942332415933682,1.23213940158312,0.666666666666667,0.683333333333333,1.08280691966647,0.801857912200891,1.15517770736672,1.30910109579951,0.666666666666667,0.666666666666667,0.7,0.666666666666667
"sub-010",0.636468052716615,1.01263672290042,1,1,0.672452279033314,0.600483826399916,0.936230827800076,1.08904261800077,1,1,1,1
"sub-011",0.534965837500507,1.27958169508359,0.9,0.916666666666667,0.513265526433558,0.556666148567456,1.2434901069338,1.31567328323339,0.933333333333333,0.866666666666667,0.866666666666667,0.966666666666667
"sub-012",0.650273518033888,0.610892354916723,0.983333333333333,0.966666666666667,0.720861415267185,0.579685620800592,0.64188595279799,0.579898757035456,0.966666666666667,1,0.966666666666667,0.966666666666667
"sub-015",1.60307564606677,2.99807394461629,0.783333333333333,0.816666666666667,1.6168502489003,1.58930104323323,3.09274254559956,2.90340534363301,0.833333333333333,0.733333333333333,0.833333333333333,0.8
"sub-019",1.21242029603188,1.54058186524877,0.766666666666667,0.866666666666667,1.46690454553221,0.957936046531541,1.58342677783221,1.49773695266534,0.6,0.933333333333333,0.866666666666667,0.866666666666667
"sub-021",3.15694017951998,3.6436105301691,0.6,0.5,2.93021782260427,3.38366253643568,3.26292315040094,4.02429790993726,0.533333333333333,0.666666666666667,0.466666666666667,0.533333333333333
"sub-022",3.89113892770062,4.16415967496481,0.566666666666667,0.6,4.23828874922668,3.54398910617456,4.24301873543688,4.08530061449274,0.466666666666667,0.666666666666667,0.566666666666667,0.633333333333333
"sub-025",1.21035158435067,3.17866002783327,0.866666666666667,0.766666666666667,1.36398464753438,1.05671852116696,3.18820328553338,3.16911677013316,0.866666666666667,0.866666666666667,0.933333333333333,0.6
"sub-040",1.27570634096665,1.66107853753298,0.533333333333333,0.6,1.38139046460007,1.17002221733322,1.67700112439925,1.64515595066672,0.666666666666667,0.4,0.466666666666667,0.733333333333333
"sub-041",1.95670370999975,2.45199303333338,0.933333333333333,0.866666666666667,1.80102772666639,2.11237969333312,2.69899470000006,2.2049913666667,0.933333333333333,0.933333333333333,0.8,0.933333333333333
"sub-042",1.18791355600006,1.09369206581669,0.65,0.866666666666667,1.18021172919992,1.19561538280019,1.30745071000001,0.879933421633359,0.666666666666667,0.633333333333333,0.866666666666667,0.866666666666667
"sub-044",1.22145683608348,2.19400223888442,0.516666666666667,0.6,1.2400080680333,1.20290560413365,2.2536106069354,2.13439387083345,0.533333333333333,0.5,0.6,0.6
"sub-046",2.24266740491973,3.90892951671849,0.65,0.616666666666667,2.45550003753742,2.02983477230203,3.826089893069,3.99176914036798,0.733333333333333,0.566666666666667,0.566666666666667,0.666666666666667
